"","country","v185","v186","v187"
"1","Austria",8,3,3
"2","Austria",10,8,2
"3","Austria",8,7,3
"4","Austria",4,6,3
"5","Austria",4,2,2
"6","Austria",5,2,1
"7","Austria",8,4,8
"8","Austria",5,3,4
"9","Austria",10,10,8
"10","Austria",8,6,6
"11","Austria",6,2,1
"12","Austria",5,4,3
"13","Austria",-2,-2,-2
"14","Austria",7,3,5
"15","Austria",5,2,1
"16","Austria",4,1,1
"17","Austria",1,1,1
"18","Austria",6,7,6
"19","Austria",1,1,1
"20","Austria",6,10,1
"21","Austria",9,8,8
"22","Austria",1,1,1
"23","Austria",8,4,3
"24","Austria",3,1,1
"25","Austria",10,2,1
"26","Austria",10,5,7
"27","Austria",8,6,5
"28","Austria",5,5,5
"29","Austria",8,8,1
"30","Austria",7,3,1
"31","Austria",7,3,3
"32","Austria",7,4,5
"33","Austria",7,5,5
"34","Austria",4,2,1
"35","Austria",5,2,2
"36","Austria",6,6,5
"37","Austria",8,5,8
"38","Austria",10,1,1
"39","Austria",5,4,3
"40","Austria",8,4,2
"41","Austria",5,1,1
"42","Austria",2,3,2
"43","Austria",5,3,3
"44","Austria",4,2,1
"45","Austria",3,6,4
"46","Austria",7,6,9
"47","Austria",3,1,1
"48","Austria",9,9,7
"49","Austria",3,2,3
"50","Austria",7,4,2
"51","Austria",1,1,1
"52","Austria",8,5,7
"53","Austria",10,9,3
"54","Austria",10,4,4
"55","Austria",5,1,5
"56","Austria",9,1,1
"57","Austria",1,1,1
"58","Austria",1,1,1
"59","Austria",9,8,5
"60","Austria",9,5,8
"61","Austria",10,10,10
"62","Austria",7,3,1
"63","Austria",4,2,1
"64","Austria",10,8,7
"65","Austria",5,3,1
"66","Austria",5,3,3
"67","Austria",3,4,5
"68","Austria",3,2,1
"69","Austria",5,4,4
"70","Austria",4,3,2
"71","Austria",1,1,1
"72","Austria",3,3,2
"73","Austria",7,6,5
"74","Austria",9,8,9
"75","Austria",4,3,1
"76","Austria",9,9,6
"77","Austria",8,5,4
"78","Austria",6,3,2
"79","Austria",8,4,5
"80","Austria",2,3,3
"81","Austria",7,3,3
"82","Austria",5,4,2
"83","Austria",3,3,3
"84","Austria",3,1,1
"85","Austria",3,3,2
"86","Austria",10,10,10
"87","Austria",2,2,2
"88","Austria",7,8,6
"89","Austria",3,4,6
"90","Austria",5,7,8
"91","Austria",1,10,1
"92","Austria",3,1,3
"93","Austria",4,1,4
"94","Austria",8,8,5
"95","Austria",1,1,1
"96","Austria",10,2,1
"97","Austria",5,2,3
"98","Austria",7,3,1
"99","Austria",10,4,5
"100","Austria",6,1,1
"101","Austria",8,8,5
"102","Austria",3,1,3
"103","Austria",5,1,1
"104","Austria",8,3,2
"105","Austria",6,5,3
"106","Austria",5,2,2
"107","Austria",8,2,2
"108","Austria",3,2,1
"109","Austria",8,9,8
"110","Austria",3,3,1
"111","Austria",3,1,1
"112","Austria",10,8,8
"113","Austria",5,6,7
"114","Austria",5,3,1
"115","Austria",5,2,5
"116","Austria",1,3,1
"117","Austria",7,3,2
"118","Austria",10,4,7
"119","Austria",3,1,2
"120","Austria",10,10,10
"121","Austria",2,1,1
"122","Austria",6,3,3
"123","Austria",3,3,5
"124","Austria",5,2,1
"125","Austria",5,4,4
"126","Austria",4,1,1
"127","Austria",5,3,5
"128","Austria",10,9,10
"129","Austria",5,3,2
"130","Austria",8,8,8
"131","Austria",9,7,6
"132","Austria",4,2,2
"133","Austria",7,2,1
"134","Austria",6,3,3
"135","Austria",6,3,4
"136","Austria",8,6,5
"137","Austria",5,1,1
"138","Austria",8,5,5
"139","Austria",8,7,3
"140","Austria",3,1,1
"141","Austria",3,1,1
"142","Austria",8,4,5
"143","Austria",8,5,5
"144","Austria",5,6,1
"145","Austria",8,5,5
"146","Austria",3,3,1
"147","Austria",10,10,1
"148","Austria",9,6,6
"149","Austria",6,5,3
"150","Austria",5,3,4
"151","Austria",7,4,5
"152","Austria",9,5,7
"153","Austria",7,1,3
"154","Austria",4,3,2
"155","Austria",2,1,1
"156","Austria",5,8,5
"157","Austria",5,4,3
"158","Austria",2,1,1
"159","Austria",1,1,1
"160","Austria",1,1,1
"161","Austria",8,2,3
"162","Austria",10,10,10
"163","Austria",7,8,9
"164","Austria",4,2,4
"165","Austria",4,3,3
"166","Austria",10,4,3
"167","Austria",4,2,2
"168","Austria",5,6,7
"169","Austria",3,1,1
"170","Austria",10,4,6
"171","Austria",5,3,3
"172","Austria",8,1,1
"173","Austria",4,3,1
"174","Austria",6,5,3
"175","Austria",8,3,8
"176","Austria",3,4,4
"177","Austria",3,3,3
"178","Austria",1,1,1
"179","Austria",8,8,7
"180","Austria",-1,4,1
"181","Austria",5,5,1
"182","Austria",6,8,7
"183","Austria",10,9,8
"184","Austria",4,1,1
"185","Austria",4,3,2
"186","Austria",10,10,4
"187","Austria",7,4,4
"188","Austria",8,3,8
"189","Austria",10,10,10
"190","Austria",6,7,7
"191","Austria",4,2,3
"192","Austria",7,2,1
"193","Austria",8,8,-1
"194","Austria",5,1,1
"195","Austria",5,1,1
"196","Austria",5,4,3
"197","Austria",5,3,3
"198","Austria",8,5,5
"199","Austria",5,4,3
"200","Austria",8,7,7
"201","Austria",5,8,6
"202","Austria",8,7,7
"203","Austria",5,5,5
"204","Austria",5,4,4
"205","Austria",2,1,1
"206","Austria",1,3,5
"207","Austria",7,1,1
"208","Austria",4,2,4
"209","Austria",4,2,5
"210","Austria",8,2,3
"211","Austria",4,1,1
"212","Austria",5,3,1
"213","Austria",9,9,8
"214","Austria",1,1,1
"215","Austria",8,1,2
"216","Austria",5,6,7
"217","Austria",1,2,1
"218","Austria",5,5,6
"219","Austria",3,2,1
"220","Austria",10,10,10
"221","Austria",1,1,1
"222","Austria",6,5,5
"223","Austria",8,10,9
"224","Austria",3,3,3
"225","Austria",5,6,6
"226","Austria",1,1,1
"227","Austria",8,3,8
"228","Austria",5,4,3
"229","Austria",10,3,5
"230","Austria",5,4,4
"231","Austria",10,2,10
"232","Austria",5,2,1
"233","Austria",8,1,1
"234","Austria",1,1,1
"235","Austria",10,3,4
"236","Austria",5,3,3
"237","Austria",5,5,6
"238","Austria",6,4,2
"239","Austria",7,1,1
"240","Austria",3,3,2
"241","Austria",1,1,1
"242","Austria",6,3,3
"243","Austria",4,2,1
"244","Austria",1,10,1
"245","Austria",4,5,4
"246","Austria",5,1,5
"247","Austria",6,4,3
"248","Austria",7,4,3
"249","Austria",4,4,1
"250","Austria",9,1,5
"251","Austria",9,9,9
"252","Austria",4,2,5
"253","Austria",10,10,4
"254","Austria",4,3,2
"255","Austria",4,3,3
"256","Austria",10,10,3
"257","Austria",7,1,1
"258","Austria",4,1,4
"259","Austria",7,5,3
"260","Austria",8,7,7
"261","Austria",5,5,5
"262","Austria",4,3,6
"263","Austria",9,2,1
"264","Austria",4,3,3
"265","Austria",1,1,1
"266","Austria",-1,-1,1
"267","Austria",1,2,1
"268","Austria",7,2,2
"269","Austria",5,2,1
"270","Austria",2,2,3
"271","Austria",9,8,3
"272","Austria",8,9,5
"273","Austria",1,1,1
"274","Austria",10,1,1
"275","Austria",2,4,3
"276","Austria",-2,1,1
"277","Austria",6,5,7
"278","Austria",8,2,7
"279","Austria",5,3,1
"280","Austria",3,2,2
"281","Austria",3,1,1
"282","Austria",7,1,1
"283","Austria",8,5,5
"284","Austria",4,4,3
"285","Austria",8,8,7
"286","Austria",5,5,6
"287","Austria",7,3,3
"288","Austria",2,2,1
"289","Austria",10,7,8
"290","Austria",6,7,4
"291","Austria",1,1,1
"292","Austria",4,5,5
"293","Austria",1,1,1
"294","Austria",-2,-2,-2
"295","Austria",4,3,3
"296","Austria",3,3,8
