"","V131","V132","V133","V134","V135","V136","V137","V138","V139"
"1",5,5,6,7,5,5,6,6,6
"2",6,6,7,6,5,5,6,6,6
"3",7,7,10,2,8,4,9,9,9
"4",8,3,8,6,7,5,8,6,3
"5",6,5,5,6,5,5,5,6,6
"6",6,6,6,7,7,6,6,7,7
"7",7,1,10,8,2,7,5,8,9
"8",2,7,8,9,3,7,6,4,3
"9",3,5,3,6,5,3,5,3,1
"10",5,2,8,4,5,7,2,4,2
"11",7,6,6,4,3,3,4,5,5
"12",1,2,3,2,3,2,1,3,2
"13",4,7,6,6,4,5,4,4,4
"14",1,7,8,7,3,3,7,6,7
"15",8,9,7,9,3,8,7,3,7
"16",8,9,8,6,7,3,8,8,4
"17",1,3,9,4,1,4,3,4,3
"18",8,8,8,9,7,8,8,9,9
"19",5,4,3,4,3,4,5,3,1
"20",5,4,3,4,6,5,4,3,2
"21",2,4,5,4,3,5,4,3,2
"22",2,8,9,7,3,8,7,8,8
"23",1,8,8,5,2,6,7,8,7
"24",3,4,3,5,4,5,4,3,5
"25",8,4,5,6,5,4,5,4,4
"26",8,3,10,8,3,8,9,10,9
"27",4,3,4,5,2,3,4,2,1
"28",6,9,8,9,3,7,6,8,6
"29",2,8,9,5,3,6,8,8,8
"30",7,3,8,8,2,4,6,7,8
"31",2,8,7,8,3,8,9,8,8
"32",3,4,2,3,5,3,5,3,1
"33",9,8,9,8,8,8,7,7,7
"34",8,8,7,7,8,7,8,7,8
"35",8,8,8,8,8,7,8,8,9
"36",8,8,8,7,8,8,7,8,9
"37",2,3,4,5,4,6,5,4,3
"38",6,6,5,4,5,5,4,4,5
"39",7,6,5,5,5,6,7,6,8
"40",6,6,5,5,4,4,5,5,5
"41",4,3,2,3,3,4,5,4,5
"42",2,1,9,4,6,3,1,3,5
"43",2,4,6,2,2,2,3,3,2
"44",6,6,5,4,4,5,5,5,4
"45",6,6,6,5,4,4,5,5,5
"46",2,3,4,4,3,5,3,3,1
"47",2,4,6,5,7,3,2,4,1
"48",1,3,7,6,8,4,3,8,8
"49",3,5,8,3,2,3,1,4,2
"50",2,2,3,3,1,8,8,7,2
"51",3,1,8,1,4,2,1,5,2
"52",1,7,8,6,7,8,6,7,7
"53",2,7,2,2,7,7,5,5,5
"54",1,7,1,1,5,1,4,5,1
"55",3,6,7,3,3,7,6,5,5
"56",6,7,8,7,3,7,5,7,6
"57",8,9,7,6,3,6,7,8,8
"58",6,8,9,8,5,7,8,6,7
"59",6,8,7,9,3,6,7,7,5
"60",2,2,9,5,5,4,2,8,4
"61",3,1,3,2,3,1,2,7,4
"62",3,4,2,5,2,4,2,3,1
"63",7,8,7,6,4,9,7,6,7
"64",8,9,8,9,3,7,8,9,8
"65",7,2,8,7,3,7,8,8,9
"66",8,3,5,6,7,7,8,8,6
"67",1,4,8,6,8,5,7,8,6
"68",8,4,7,7,6,8,7,8,7
"69",7,2,9,6,2,5,3,7,5
"70",8,4,6,8,4,7,6,8,7
"71",6,5,4,2,2,1,2,6,5
"72",7,2,7,7,3,5,3,3,7
"73",2,3,3,4,5,4,3,4,5
"74",2,8,2,1,6,1,5,6,2
"75",3,6,2,1,3,2,4,6,3
"76",3,6,2,1,3,1,6,6,2
"77",3,7,5,5,6,5,6,5,6
"78",3,2,8,4,6,3,1,6,4
"79",7,5,6,6,3,5,6,5,7
"80",2,3,5,5,7,5,5,6,5
"81",1,1,6,5,6,5,7,7,6
"82",3,1,6,2,6,3,1,8,2
"83",1,2,3,2,4,3,3,3,3
"84",7,7,8,7,5,5,4,5,5
"85",5,4,4,3,2,9,9,9,2
"86",5,5,5,6,5,5,4,5,6
"87",2,2,8,3,8,8,3,8,8
"88",5,6,6,6,7,6,5,5,5
"89",6,6,7,7,6,6,5,6,6
"90",7,3,4,5,6,5,4,3,2
"91",3,4,5,4,3,4,5,3,2
"92",2,4,2,3,4,6,4,3,6
"93",1,8,7,6,8,6,4,3,7
"94",7,4,4,6,2,4,7,6,6
"95",2,2,7,4,7,4,2,8,2
"96",4,1,5,2,5,3,2,7,3
"97",7,8,8,5,1,5,8,9,8
"98",8,7,9,7,4,6,7,6,5
"99",8,3,8,8,3,8,8,4,6
"100",3,2,8,2,3,2,4,8,7
"101",2,5,4,3,5,3,2,4,2
"102",7,3,6,5,4,5,6,6,5
"103",3,7,7,6,5,6,6,6,5
"104",6,6,7,7,6,6,7,6,6
"105",1,3,4,5,3,4,5,4,3
"106",3,4,5,4,2,3,4,2,2
"107",2,3,2,8,8,7,7,6,6
"108",3,2,2,8,7,6,6,6,6
"109",2,2,2,8,8,8,8,8,8
"110",1,3,4,3,5,4,5,4,3
"111",2,2,8,3,8,3,6,3,6
"112",1,2,3,4,3,2,4,3,2
"113",2,4,3,2,4,3,4,5,3
"114",7,6,5,5,2,5,5,9,6
"115",2,4,5,3,9,6,8,6,8
"116",6,5,3,5,6,6,5,5,5
"117",5,7,6,7,4,5,4,6,8
"118",1,3,2,2,3,1,4,2,4
"119",5,3,4,2,4,2,3,5,3
"120",8,8,8,9,8,9,9,9,10
"121",1,1,5,4,6,2,2,5,5
"122",2,3,4,4,3,5,4,3,4
"123",2,2,3,8,8,3,6,2,8
"124",7,7,4,2,5,5,6,5,5
"125",2,2,4,8,3,8,2,3,7
"126",2,6,8,2,8,8,3,4,7
"127",2,3,7,8,3,7,8,7,8
"128",3,3,8,7,8,7,7,8,8
"129",4,5,4,6,7,5,4,6,5
"130",1,1,2,8,8,6,6,8,8
"131",1,6,4,8,6,9,9,10,7
"132",8,8,7,8,8,8,9,8,9
"133",2,5,5,2,8,7,7,7,8
"134",7,3,5,5,6,7,7,6,5
"135",1,5,7,5,6,6,4,4,6
"136",3,7,7,5,5,7,6,9,7
"137",3,1,10,3,8,4,5,4,2
"138",2,2,7,2,7,7,2,7,7
"139",2,2,2,7,7,8,7,6,7
"140",7,2,8,8,1,7,2,9,10
"141",6,6,4,4,4,5,6,6,6
"142",2,1,7,4,7,4,6,4,1
"143",7,2,10,8,1,6,7,7,8
"144",2,3,6,2,2,4,2,3,2
"145",1,2,8,1,1,3,1,2,2
"146",1,2,5,1,2,5,2,4,2
"147",2,4,4,3,8,6,7,7,8
"148",3,4,3,5,6,5,4,3,4
"149",1,2,3,4,4,3,3,2,3
"150",6,7,7,6,5,3,4,5,5
"151",2,1,9,4,6,8,3,4,1
"152",7,7,5,4,4,5,5,6,6
"153",7,6,5,5,3,10,4,3,1
"154",2,4,5,3,10,6,8,7,10
"155",5,6,6,5,5,6,7,7,6
"156",2,2,8,5,7,5,2,8,8
"157",4,5,6,5,4,4,5,4,3
"158",8,9,7,9,4,6,8,9,7
"159",2,3,2,2,4,4,5,6,4
"160",7,2,4,5,5,8,5,6,4
"161",5,4,3,2,4,5,4,3,2
"162",4,4,3,3,3,4,2,2,1
"163",7,7,5,6,2,3,4,3,3
"164",2,2,4,1,2,2,3,4,2
"165",2,3,4,3,8,8,7,7,7
"166",8,6,5,5,5,5,4,4,5
"167",2,3,2,2,3,4,3,4,5
"168",4,7,6,5,6,6,7,4,4
"169",5,4,3,2,1,3,4,5,3
"170",2,6,6,3,2,7,3,4,4
"171",6,8,7,6,7,6,8,6,6
"172",4,1,3,4,3,5,6,5,4
"173",2,3,4,3,5,4,5,4,5
"174",3,6,7,3,3,7,6,5,5
"175",5,5,4,4,1,2,4,5,5
"176",8,9,8,10,8,9,8,7,8
"177",8,8,9,2,8,2,2,3,3
"178",5,6,7,6,7,6,7,7,7
"179",2,3,7,8,5,6,8,9,8
"180",5,5,6,7,3,6,7,6,6
"181",6,7,7,6,5,5,6,6,6
"182",7,6,6,4,3,4,5,5,5
"183",1,1,8,5,3,6,2,3,4
"184",2,1,4,4,6,1,2,5,4
"185",4,6,5,4,6,5,4,5,4
"186",4,3,4,3,1,2,3,4,2
"187",7,9,9,8,8,7,8,8,9
"188",5,4,3,2,4,5,6,5,3
"189",4,3,2,4,5,4,3,2,5
"190",5,6,4,3,2,4,5,4,6
"191",8,8,9,8,8,8,8,8,9
"192",5,9,9,9,9,9,9,9,9
"193",8,8,8,8,9,8,9,9,10
"194",9,8,8,8,7,8,9,8,9
"195",3,4,5,4,3,5,4,3,5
"196",6,6,5,5,5,5,6,5,4
"197",8,7,8,7,2,4,7,4,6
"198",3,4,3,2,3,4,5,4,3
"199",9,1,9,2,1,8,9,8,9
"200",5,3,6,4,2,7,5,4,3
"201",4,6,5,5,4,6,6,4,5
"202",1,2,7,3,1,8,6,5,6
"203",7,6,3,6,7,6,5,8,7
"204",7,5,6,7,5,6,5,5,7
"205",8,5,6,6,5,7,8,6,8
"206",7,6,5,4,3,3,3,4,4
"207",7,5,3,1,1,2,5,5,5
"208",3,6,5,7,3,6,7,5,8
"209",3,7,6,8,6,6,6,7,7
"210",3,7,6,7,8,9,3,8,8
"211",4,7,5,5,4,4,7,6,7
"212",7,2,8,2,2,3,2,3,3
"213",4,6,5,5,7,7,4,5,4
"214",4,5,5,7,4,4,6,5,7
"215",2,2,8,3,8,8,3,8,8
"216",1,3,1,2,3,2,4,4,1
"217",6,5,5,4,4,5,5,5,5
"218",6,6,5,6,6,5,5,5,5
"219",9,8,8,8,9,7,7,8,8
"220",9,8,8,9,6,7,8,7,8
"221",2,2,9,4,8,6,5,9,9
"222",3,4,5,4,3,2,1,2,4
"223",5,3,8,4,5,7,6,5,6
"224",2,4,1,1,3,1,3,4,2
"225",9,8,9,8,7,8,7,6,6
"226",5,5,6,4,1,10,5,5,4
"227",1,1,7,2,2,1,1,7,1
"228",2,2,7,4,7,3,3,4,1
"229",4,6,8,4,6,3,5,4,7
"230",3,2,8,5,6,3,2,5,2
"231",9,4,9,9,4,8,4,8,8
"232",1,5,3,2,1,1,3,2,1
"233",1,1,5,1,1,1,1,6,4
"234",1,1,6,2,2,1,3,8,3
"235",2,2,8,2,8,8,2,8,8
"236",1,4,8,8,4,9,9,10,9
"237",2,4,4,3,8,8,7,7,8
"238",8,3,4,6,5,6,6,5,5
"239",2,1,8,9,3,4,3,5,5
"240",3,3,7,9,2,5,6,6,6
"241",3,3,7,9,2,5,6,6,6
"242",1,3,2,1,2,3,2,1,2
"243",1,2,3,2,1,2,2,1,2
"244",1,2,2,2,1,1,2,1,1
"245",7,4,8,9,3,5,8,10,8
"246",5,4,9,10,4,4,3,9,9
"247",2,3,1,1,3,2,2,1,1
"248",1,2,1,1,2,3,1,2,1
"249",1,2,2,1,1,1,1,2,2
"250",8,7,7,8,10,8,7,8,6
"251",9,8,8,9,1,8,7,7,8
"252",8,7,7,8,10,8,7,8,6
"253",8,6,8,9,2,4,8,9,6
"254",7,8,10,8,10,8,5,9,6
"255",8,7,7,9,8,7,7,7,4
"256",1,2,8,6,3,5,3,5,5
"257",1,4,9,5,3,4,4,5,7
"258",1,2,8,6,3,5,3,5,5
"259",2,1,8,9,3,4,3,5,5
"260",1,2,3,1,2,3,2,3,2
"261",4,5,9,3,7,9,1,3,5
"262",5,4,9,10,4,4,3,9,9
"263",5,6,10,7,4,5,6,4,8
"264",5,6,9,6,3,7,6,6,6
"265",2,1,2,3,2,3,4,2,2
"266",1,2,8,6,3,5,3,5,5
"267",10,5,10,10,8,5,7,6,10
"268",1,2,1,2,2,3,2,1,2
"269",1,2,1,1,2,8,8,9,3
"270",1,4,9,5,3,4,4,5,8
"271",8,5,4,6,6,6,3,4,3
"272",1,4,10,5,4,4,5,6,6
"273",8,6,8,9,2,4,8,9,6
"274",8,6,7,8,1,7,8,8,8
"275",4,2,7,8,2,2,2,3,1
"276",8,8,8,7,8,8,8,8,4
"277",7,7,8,8,7,7,6,6,2
"278",8,7,7,6,7,8,7,8,7
"279",7,7,6,7,7,7,6,8,7
"280",8,7,8,6,3,6,7,6,3
"281",8,8,9,6,2,4,5,7,5
"282",1,2,1,2,1,1,2,1,1
"283",1,2,1,2,1,1,1,1,1
"284",1,2,3,2,1,2,3,2,1
"285",1,2,1,2,3,1,2,3,2
"286",3,7,9,7,1,9,8,6,8
"287",1,4,9,5,3,4,4,5,7
"288",1,4,9,5,3,4,4,5,7
"289",2,1,8,9,3,4,3,5,5
"290",3,1,7,1,6,4,6,6,1
"291",1,1,10,6,3,6,2,6,8
"292",8,7,8,7,8,8,8,9,8
"293",9,8,8,4,5,6,2,3,2
"294",5,4,9,10,4,4,3,9,9
"295",9,10,9,9,8,7,8,7,5
"296",8,3,4,5,6,4,5,6,3
"297",8,7,8,8,7,7,7,8,7
"298",8,7,6,7,5,6,3,8,5
"299",1,2,1,2,2,3,1,2,3
"300",6,8,9,9,1,5,6,8,7
"301",8,7,7,8,6,7,8,7,7
"302",9,8,7,9,1,7,8,7,7
"303",2,7,7,8,7,7,7,6,7
"304",1,2,8,3,8,2,1,8,8
"305",1,2,3,4,1,4,1,5,2
"306",1,2,1,3,5,6,8,9,6
"307",5,2,8,8,5,9,10,10,10
"308",1,7,8,10,2,8,9,10,10
"309",1,1,10,10,10,10,10,10,10
"310",5,2,8,8,6,9,10,10,10
"311",1,1,10,10,10,10,10,10,10
"312",5,2,8,8,5,9,10,10,10
"313",1,1,10,10,10,10,10,10,10
"314",1,8,2,3,1,4,4,1,3
"315",10,1,10,10,10,10,10,10,10
"316",10,1,10,10,10,10,10,10,10
"317",9,8,10,10,10,10,9,10,10
"318",10,1,10,10,10,10,10,10,10
"319",10,1,10,10,10,10,10,10,10
"320",1,1,10,10,10,10,10,10,10
"321",1,7,8,10,2,8,9,10,10
"322",1,6,9,10,1,8,9,10,10
"323",1,7,8,9,2,8,8,9,9
"324",1,2,1,3,5,6,8,7,7
"325",8,1,8,7,7,1,1,7,9
"326",1,2,1,2,1,2,1,2,1
"327",1,6,9,10,2,8,9,10,10
"328",1,6,9,9,1,10,7,9,9
"329",2,5,9,10,1,8,9,10,10
"330",1,1,10,10,10,10,10,10,10
"331",1,9,10,10,1,9,10,10,10
"332",1,5,9,10,2,8,9,10,10
"333",1,8,9,8,1,10,10,10,10
"334",4,7,8,7,5,9,10,10,10
"335",3,6,8,9,1,10,9,10,10
"336",1,6,8,9,2,7,9,10,9
"337",1,6,10,7,1,8,9,10,10
"338",1,6,10,7,2,9,10,10,10
"339",2,7,9,8,1,10,9,10,8
"340",2,6,10,8,2,8,9,10,10
"341",1,5,8,9,4,9,8,9,10
"342",8,1,2,6,3,7,1,6,9
"343",8,1,2,6,3,8,2,5,7
"344",10,9,10,10,10,10,10,10,10
"345",1,3,2,4,1,3,1,1,2
"346",1,8,8,1,2,7,4,9,10
"347",1,1,8,6,7,7,6,6,7
"348",1,6,9,10,1,8,9,10,10
"349",1,4,10,8,5,9,10,10,10
"350",1,1,10,10,10,10,10,10,10
"351",1,3,2,4,1,3,1,1,2
"352",1,1,10,10,10,10,10,10,10
"353",5,7,8,9,4,9,9,10,8
"354",1,7,8,10,2,8,9,10,10
"355",1,6,9,10,1,8,9,10,10
"356",1,2,9,7,8,3,8,8,10
"357",1,1,10,10,10,10,10,10,10
"358",1,1,10,10,10,10,10,10,10
"359",1,10,10,10,10,10,10,10,10
"360",1,1,10,10,10,10,10,10,10
"361",1,1,10,10,10,10,10,10,10
"362",1,10,10,10,10,10,10,10,10
"363",5,7,8,9,4,9,9,10,8
"364",5,2,8,8,5,9,10,10,10
"365",1,5,8,9,4,9,8,9,10
"366",5,2,8,8,5,9,10,10,10
"367",5,4,5,3,4,7,5,8,9
"368",5,8,9,8,5,9,9,8,9
"369",1,5,8,9,4,9,8,9,10
"370",2,2,8,9,8,8,8,9,8
"371",2,2,9,9,9,9,9,9,9
"372",2,9,10,10,4,8,9,10,10
"373",5,8,9,8,5,9,9,8,9
"374",5,4,5,3,4,7,5,8,9
"375",7,8,8,8,7,8,8,8,7
"376",1,1,10,10,1,1,1,10,10
"377",10,9,10,10,1,9,10,9,9
"378",8,9,8,7,9,8,1,9,9
"379",9,8,8,9,8,8,7,7,7
"380",8,9,8,7,9,8,7,8,8
"381",7,8,9,9,8,7,8,8,7
"382",9,9,10,10,10,10,10,9,9
"383",8,9,8,8,10,10,9,10,10
"384",1,9,8,9,10,9,8,9,9
"385",10,10,10,9,10,10,10,10,10
"386",10,9,10,10,10,10,10,10,10
"387",9,8,9,8,8,9,8,9,8
"388",4,8,9,8,9,8,9,8,8
"389",4,7,10,10,8,9,10,8,9
"390",9,8,8,10,9,8,8,9,5
"391",1,9,10,10,8,7,9,8,10
"392",10,10,8,8,9,10,10,10,8
"393",10,9,10,10,10,10,10,10,10
"394",10,9,8,10,10,9,9,10,10
"395",1,1,10,1,1,10,9,9,1
"396",10,10,10,10,10,10,10,10,10
"397",1,6,8,7,5,8,7,8,8
"398",10,10,9,10,10,10,10,10,10
"399",3,9,10,9,10,9,8,9,10
"400",8,6,9,8,9,8,1,9,8
"401",10,10,10,10,9,10,1,9,10
"402",10,9,10,10,10,10,10,10,10
"403",8,9,8,8,7,8,7,8,9
"404",8,9,8,9,8,9,8,9,8
"405",8,7,9,8,1,5,1,9,9
"406",9,8,9,8,9,8,9,8,9
"407",10,6,9,7,2,8,9,10,10
"408",3,9,10,9,10,10,10,10,10
"409",1,9,10,9,10,8,9,10,9
"410",9,9,9,8,9,9,8,9,9
"411",5,9,7,8,7,8,9,8,8
"412",5,9,7,8,7,8,9,8,8
"413",9,10,9,9,3,7,9,9,8
"414",6,1,9,8,1,8,1,9,9
"415",1,10,10,8,7,9,8,10,10
"416",6,9,8,9,8,9,10,10,10
"417",8,9,8,10,9,8,9,8,9
"418",7,6,9,10,1,7,3,10,10
"419",5,9,10,9,10,8,7,8,9
"420",8,7,9,7,7,7,8,7,8
"421",9,9,10,9,8,9,8,9,10
"422",9,10,9,9,9,10,5,8,8
"423",10,10,10,10,10,10,10,10,10
"424",5,10,9,7,5,8,10,10,10
"425",5,9,7,8,7,8,9,8,8
"426",3,1,10,10,3,8,9,9,10
"427",9,10,8,9,7,8,8,8,8
"428",9,8,5,7,1,8,9,8,9
"429",9,2,9,9,1,10,7,9,10
"430",9,8,9,8,9,9,8,8,9
"431",7,8,10,7,8,10,1,10,10
"432",10,10,10,9,5,5,5,5,5
"433",8,6,9,8,9,8,1,9,8
"434",6,1,9,8,1,8,1,9,9
"435",1,6,8,7,5,8,7,8,8
"436",1,8,7,9,8,7,6,8,8
"437",9,8,9,8,9,8,9,8,9
"438",8,9,9,8,7,9,8,9,9
"439",8,7,9,8,1,6,1,9,9
"440",3,4,9,10,4,8,5,8,9
"441",9,10,9,7,3,10,9,10,6
"442",8,9,8,9,8,9,8,9,8
"443",3,2,7,4,8,8,9,8,8
"444",8,10,10,8,9,10,8,10,10
"445",9,8,10,9,8,8,9,8,8
"446",9,2,8,10,8,9,8,10,6
"447",8,9,8,9,8,9,9,9,9
"448",9,10,9,9,3,7,9,9,8
"449",10,9,10,10,9,2,8,9,9
"450",3,1,2,4,8,9,6,4,2
"451",9,8,10,10,10,10,1,6,9
"452",10,6,10,10,7,10,3,10,10
"453",9,5,7,5,8,8,2,8,10
"454",5,6,8,5,4,6,5,8,8
"455",7,5,6,4,5,5,3,7,8
"456",10,7,10,10,1,10,4,8,10
"457",1,1,5,9,9,9,1,7,8
"458",4,9,7,6,10,8,2,4,9
"459",5,5,6,7,9,9,5,5,5
"460",1,1,10,10,10,10,8,10,10
"461",6,5,4,8,10,10,7,10,10
"462",1,1,10,10,10,10,1,6,5
"463",6,5,10,10,5,10,6,10,10
"464",8,8,5,5,5,5,5,10,10
"465",7,8,10,10,1,10,5,8,10
"466",7,7,10,10,1,10,10,10,10
"467",10,10,10,10,1,10,5,10,10
"468",8,6,8,7,6,6,5,8,8
"469",8,10,10,10,4,10,10,10,10
"470",5,5,6,5,3,6,4,7,9
"471",7,8,10,10,5,10,7,10,10
"472",1,1,10,10,10,10,7,10,10
"473",5,1,10,10,1,10,1,10,10
"474",7,5,7,4,5,7,5,8,8
"475",10,6,10,10,1,10,8,10,10
"476",4,6,8,2,2,6,6,10,10
"477",8,6,7,6,7,6,5,5,8
"478",6,7,9,6,10,10,1,5,5
"479",4,6,10,6,9,2,1,3,5
"480",7,5,6,6,8,7,4,10,10
"481",8,7,9,8,7,6,7,8,7
"482",8,6,7,7,6,5,5,5,7
"483",8,6,10,10,1,10,8,10,10
"484",7,8,10,10,1,10,10,10,10
"485",6,6,10,10,1,10,7,10,10
"486",7,3,10,10,1,10,7,10,10
"487",5,10,10,10,1,10,5,10,10
"488",8,4,10,10,1,10,7,10,10
"489",1,5,10,9,10,10,10,10,10
"490",1,3,10,7,10,10,10,10,10
"491",1,8,1,1,1,10,3,9,9
"492",1,6,10,7,8,10,3,10,10
"493",1,1,10,8,5,10,10,10,10
"494",1,1,10,8,7,10,10,10,8
