"","V131","V132","V133","V134","V135","V136","V137","V138","V139"
"1",9,9,8,6,9,9,8,7,8
"2",7,5,6,6,6,4,3,2,5
"3",9,6,9,7,9,8,9,6,9
"4",10,10,7,9,5,5,6,4,6
"5",10,8,9,9,1,8,7,8,6
"6",10,9,8,9,5,7,5,6,7
"7",6,1,10,7,7,9,6,8,10
"8",7,5,10,7,10,10,7,10,10
"9",6,5,10,6,9,10,3,9,10
"10",7,7,10,6,8,10,3,9,10
"11",7,8,9,5,7,7,4,5,6
"12",8,8,7,9,9,8,5,7,8
"13",9,7,5,7,7,5,7,7,8
"14",8,9,8,9,9,7,8,9,7
"15",9,8,6,9,8,8,4,6,7
"16",4,4,4,4,6,6,6,6,5
"17",8,5,5,8,5,5,6,6,6
"18",10,5,7,8,8,8,5,5,5
"19",5,9,4,4,4,4,6,6,9
"20",10,9,9,10,9,9,10,10,10
"21",7,7,7,10,7,7,7,6,10
"22",6,7,7,6,6,6,6,6,7
"23",5,10,5,5,4,5,5,10,10
"24",5,5,5,5,5,5,5,5,5
"25",6,5,8,8,8,8,8,8,10
"26",10,9,9,9,9,9,9,9,9
"27",10,7,7,6,6,10,7,7,10
"28",10,10,10,10,10,10,10,10,10
"29",7,7,5,5,5,5,6,10,10
"30",10,10,10,10,1,10,10,10,10
"31",10,10,10,10,10,10,10,10,10
"32",6,6,6,6,6,6,10,10,10
"33",6,8,7,9,8,6,8,7,6
"34",10,10,10,9,1,9,9,10,10
"35",10,9,10,9,7,8,8,9,10
"36",8,7,7,7,3,6,3,3,8
"37",6,8,7,9,6,8,8,6,9
"38",8,9,1,9,8,8,8,9,8
"39",8,9,10,5,8,7,2,6,6
"40",10,9,10,9,1,6,7,8,9
"41",5,8,6,10,9,9,8,10,9
"42",8,10,10,7,10,10,10,7,6
"43",4,9,6,10,9,7,6,7,6
"44",8,4,8,4,1,3,5,5,7
"45",5,5,6,6,6,6,6,5,5
"46",6,10,10,10,6,10,10,10,8
"47",5,5,5,5,5,6,5,6,6
"48",6,6,6,6,6,6,6,7,7
"49",10,9,10,10,9,10,9,10,10
"50",6,5,6,5,5,5,5,5,5
"51",7,7,6,5,5,5,7,7,6
"52",9,8,10,10,9,10,10,9,10
"53",7,6,5,5,5,5,5,5,6
"54",10,10,10,7,10,10,10,8,10
"55",5,5,8,5,8,8,5,5,5
"56",5,7,7,7,6,7,6,5,8
"57",6,10,10,10,10,10,10,7,10
"58",5,5,8,5,5,8,10,5,10
"59",3,8,9,9,9,8,5,5,8
"60",4,4,6,5,5,5,4,4,4
"61",5,2,10,7,4,10,10,10,10
"62",5,5,5,5,5,5,5,5,5
"63",4,4,4,5,5,5,4,5,7
"64",8,6,6,6,7,8,6,7,7
"65",5,5,5,5,3,3,4,1,7
"66",5,5,5,5,5,5,5,5,5
"67",5,5,5,6,6,5,6,6,5
"68",1,3,2,2,5,5,4,5,5
"69",8,4,9,5,2,3,5,6,7
"70",6,10,9,7,10,10,10,8,10
"71",4,5,5,5,4,4,5,5,5
"72",9,6,10,10,10,6,10,10,10
"73",2,5,9,9,9,9,9,5,10
"74",5,5,10,5,7,7,7,7,10
"75",10,6,6,6,10,10,8,8,8
"76",7,7,6,6,7,6,7,7,7
"77",5,5,5,3,5,5,5,5,5
"78",10,8,10,10,9,9,6,9,9
"79",5,5,5,5,5,5,5,5,5
"80",5,5,5,5,5,5,5,5,5
"81",6,6,6,6,6,6,6,6,6
"82",10,6,10,10,8,10,10,10,10
"83",5,5,10,5,5,7,5,5,10
"84",10,10,10,10,10,10,10,10,10
"85",10,8,8,10,10,10,10,10,10
"86",2,5,9,5,5,5,5,5,10
"87",5,5,10,5,5,7,5,5,10
"88",6,5,5,4,4,3,3,4,4
"89",6,6,5,5,5,7,7,4,4
"90",7,6,6,7,6,6,7,7,7
"91",3,3,3,3,3,3,3,3,3
"92",10,9,10,10,10,10,8,10,10
"93",6,5,5,5,5,6,6,4,4
"94",6,7,7,5,7,7,7,6,6
"95",10,10,10,10,10,10,10,10,10
"96",6,6,6,5,5,5,6,6,6
"97",4,5,5,6,6,6,5,5,5
"98",10,10,10,10,10,10,10,10,10
"99",5,5,10,5,5,10,10,10,10
"100",5,5,10,5,5,5,5,5,10
"101",10,10,10,10,10,10,10,10,10
"102",5,5,10,5,8,10,8,8,10
"103",2,5,10,5,5,10,10,5,10
"104",5,5,5,5,5,4,5,5,4
"105",4,5,2,3,4,4,2,3,4
"106",10,8,10,10,10,9,10,8,10
"107",5,5,5,5,5,5,6,6,6
"108",6,6,6,6,6,6,6,6,6
"109",7,5,8,4,1,3,4,7,9
"110",8,7,7,8,9,7,8,7,8
"111",4,4,5,5,5,4,2,3,4
"112",5,5,5,6,6,6,5,5,5
"113",10,9,10,10,10,9,10,9,10
"114",10,10,10,10,10,10,10,10,10
"115",10,10,10,10,10,10,10,10,10
"116",5,5,10,5,5,5,5,10,10
"117",5,5,10,5,5,5,5,5,10
"118",10,10,10,10,10,10,10,10,10
"119",10,8,8,8,10,10,10,10,10
"120",5,5,5,5,5,5,5,5,5
"121",7,7,7,9,9,9,7,7,7
"122",5,5,5,5,5,5,5,5,5
"123",5,5,5,5,5,5,5,5,5
"124",8,8,10,10,10,10,8,8,10
"125",10,10,10,10,10,10,10,10,10
"126",6,6,6,6,6,6,6,10,10
"127",10,10,10,10,10,10,10,10,10
"128",10,10,10,10,10,10,10,10,10
"129",10,5,5,5,5,5,5,5,10
"130",7,8,9,7,7,6,7,8,7
"131",6,5,5,4,3,2,2,2,2
"132",4,4,4,4,3,3,3,3,3
"133",4,4,4,4,4,4,4,4,4
"134",4,4,4,4,4,4,4,4,3
"135",6,6,6,6,6,6,6,6,6
"136",10,10,10,9,10,10,10,10,10
"137",6,5,7,7,8,8,5,7,10
"138",8,8,8,8,8,8,5,8,8
"139",5,5,8,8,8,8,2,9,9
"140",5,5,9,8,8,8,5,10,10
"141",7,7,7,7,7,7,7,7,10
"142",5,5,8,8,8,5,1,8,10
"143",7,7,9,7,8,7,8,7,6
"144",5,9,8,9,7,7,7,4,5
"145",8,7,7,5,4,7,7,8,9
"146",8,5,5,9,8,8,2,5,7
"147",6,8,7,8,1,3,9,7,8
"148",5,8,9,8,7,6,5,8,8
"149",2,5,9,5,5,5,5,5,10
"150",10,10,10,1,10,10,1,10,10
"151",5,5,9,5,5,9,5,5,10
"152",10,10,6,10,10,10,10,10,10
"153",10,10,10,10,10,10,10,10,10
"154",9,7,6,7,5,6,5,7,8
"155",10,9,10,10,10,10,10,10,10
"156",10,9,9,8,8,9,10,10,10
"157",8,7,7,6,9,8,9,9,9
"158",5,6,10,8,7,10,9,4,6
"159",9,8,7,7,6,7,6,6,7
"160",9,6,6,7,5,6,9,7,7
"161",2,3,2,4,5,4,4,3,1
"162",8,10,9,10,10,10,9,10,10
"163",6,7,6,8,8,7,9,9,8
"164",10,9,9,9,8,8,9,7,8
"165",9,8,9,10,8,7,10,9,9
"166",3,5,6,5,6,5,6,7,6
"167",4,6,7,6,5,6,5,5,6
"168",5,7,6,7,6,7,6,7,5
"169",7,6,7,6,5,6,7,6,7
"170",8,6,7,6,7,6,7,6,7
"171",4,6,7,6,7,5,6,7,5
"172",2,3,3,3,3,4,5,5,5
"173",7,5,6,4,5,5,4,6,5
"174",10,9,8,10,9,8,7,7,9
"175",3,2,1,4,6,7,5,7,6
"176",5,5,6,6,5,6,5,5,6
"177",2,7,6,4,5,7,5,4,6
"178",4,6,5,4,5,6,4,4,5
"179",4,6,7,6,5,4,7,8,7
"180",4,6,6,6,5,4,6,6,7
"181",4,6,5,7,6,5,5,6,7
"182",5,5,6,7,6,6,4,5,6
"183",4,6,5,6,5,4,6,5,6
"184",5,5,4,5,5,5,8,6,5
"185",5,5,6,5,5,5,4,8,9
"186",6,6,5,6,5,5,6,6,6
"187",5,5,6,7,6,6,6,7,6
"188",9,6,9,10,5,6,4,6,5
"189",7,8,10,6,2,7,5,10,10
"190",10,9,8,9,1,10,9,8,10
"191",10,9,7,8,1,4,8,8,10
"192",6,5,5,6,3,3,4,8,9
"193",5,5,7,7,5,5,5,7,5
"194",6,6,6,6,6,7,7,6,6
"195",8,7,7,6,7,6,7,7,8
"196",8,8,6,6,4,3,3,3,3
"197",5,4,4,5,6,5,4,4,4
"198",7,5,7,5,2,5,6,5,7
"199",10,9,9,10,6,10,10,10,6
"200",5,5,10,10,10,10,2,10,10
"201",9,9,9,9,9,9,9,9,9
"202",6,2,10,6,10,10,7,10,10
"203",5,5,5,5,5,5,5,5,5
"204",7,10,10,8,10,10,7,10,10
"205",7,6,8,9,9,8,9,3,3
"206",7,5,10,7,7,10,5,8,8
"207",9,9,9,9,9,9,9,9,9
"208",5,5,5,5,5,5,5,5,5
"209",5,5,5,5,5,5,5,5,5
"210",9,5,7,8,7,7,9,5,8
"211",9,5,10,10,7,7,5,6,9
"212",8,7,8,5,7,10,8,5,6
"213",8,9,7,6,5,7,6,5,6
"214",10,9,6,8,8,7,9,8,7
"215",10,10,8,9,1,9,10,9,9
"216",9,8,6,7,1,8,9,7,5
"217",9,4,7,10,4,6,3,7,7
"218",10,3,4,10,2,2,2,1,8
"219",8,9,8,7,1,9,9,5,7
"220",2,2,2,2,2,2,2,2,2
"221",6,6,6,6,5,5,5,6,4
"222",3,4,4,3,3,4,5,2,2
"223",3,4,4,4,4,5,2,2,5
"224",6,6,5,7,6,6,6,6,5
"225",10,1,8,4,5,9,10,10,9
"226",2,5,6,6,8,7,7,6,6
"227",4,7,5,6,8,6,6,7,5
"228",1,4,5,1,5,6,5,5,6
"229",4,5,7,4,5,5,7,5,8
"230",8,7,6,5,8,4,5,4,3
"231",3,7,5,9,7,7,7,7,7
"232",6,5,6,6,5,5,6,8,7
"233",6,4,4,5,5,6,4,6,5
"234",8,9,8,9,10,9,9,10,9
"235",10,9,8,9,9,9,9,7,8
"236",10,7,9,10,1,5,8,10,10
"237",10,8,10,10,4,6,10,4,9
"238",4,8,7,9,6,5,8,6,8
"239",10,10,9,10,9,7,10,7,10
"240",8,8,5,7,7,8,5,5,5
"241",10,9,8,9,1,5,10,5,8
"242",10,7,8,7,1,7,10,2,7
"243",10,9,8,9,1,7,9,4,8
"244",7,8,5,10,2,5,10,9,9
"245",5,5,5,5,5,5,5,5,5
"246",10,10,10,10,10,10,10,10,10
"247",5,5,5,5,5,5,5,5,5
"248",10,10,9,10,9,8,9,9,10
"249",10,10,10,10,10,10,10,10,10
"250",5,5,5,5,5,5,5,5,5
"251",9,9,9,8,7,7,7,10,8
"252",1,5,7,9,5,10,8,5,2
"253",8,10,7,7,7,8,6,6,7
"254",9,9,8,8,8,7,8,10,9
"255",9,10,9,7,6,7,8,8,9
"256",8,9,9,10,7,6,7,8,10
"257",4,6,5,4,3,2,3,4,5
"258",2,2,3,4,3,2,2,2,3
"259",3,4,6,2,4,4,1,1,5
"260",3,8,8,8,9,6,5,3,5
"261",4,5,4,4,3,2,3,4,3
"262",3,6,4,2,5,7,2,1,4
"263",9,10,10,9,8,8,10,6,6
"264",4,2,1,3,4,4,5,5,5
"265",6,6,7,8,8,7,8,6,7
"266",2,3,4,3,2,4,3,6,5
"267",4,4,5,6,4,3,4,5,6
"268",6,7,5,3,6,9,6,8,8
"269",9,10,9,8,8,5,6,7,6
"270",4,2,3,4,3,5,4,3,4
"271",5,1,4,6,4,3,4,3,2
"272",6,4,4,6,5,4,3,5,6
"273",6,5,6,6,4,6,6,5,6
"274",6,7,5,2,3,7,3,7,6
"275",10,5,1,1,6,6,4,5,5
"276",8,5,5,4,6,6,6,5,10
"277",5,4,9,5,2,6,5,1,7
"278",7,2,3,1,6,5,1,3,4
"279",7,2,2,1,2,3,3,2,5
"280",5,8,8,7,6,6,5,5,5
"281",5,4,4,6,6,6,5,5,7
"282",5,5,6,7,7,8,8,7,7
"283",6,5,10,7,8,7,7,6,8
"284",10,5,5,5,5,5,1,1,5
