"","cnt","year","hs_p","pop_change","im_rate","im_share","im_unemp","h_ed_share","h_ed_unemp","gdp_gr","gen_imp_atd","ec_imp_atd","concern","lrc_parl","pol_sys"
"1","Austria","2015","Raise",13.4,6.3,17.2,5.7,29.3,3.9,1,-0.381698236867487,-0.0896076590793234,0.643168517332105,1,1
"2","Austria","2019","No Official Policy",4.1,7.4,19.9,4.9,29.5,3.2,1.6,0.568784982223587,0.271872135417275,0.340858025172158,1,1
"3","Belgium","2015","Maintain",6.5,4.7,15.8,8.5,30.7,4.2,2,0.161023483507957,0.161023483507957,-2.58631732809248,0,1
"4","Belgium","2019","Raise",5,4.2,17.2,6,35.1,3.5,1.4,3.25877392638109,-0.0867951711098691,-2.57154884878079,0,1
"5","Bulgaria","2015","Raise",-6.7,-0.7,1.7,9.2,37.3,4,4,0.0212259952423927,0.028632769558399,0.55590031754957,0,1
"6","Bulgaria","2019","No Official Policy",-7.1,-0.7,2.4,5.2,41.7,2.3,3.4,0.894251359409693,0.218031556073979,0.474552918119665,0,1
"7","Croatia","2015","Raise",-8.2,-1.8,13.3,16.2,30.4,9.2,2.4,0.102123219746043,0.0615455362068061,0.49362713627842,0,0
"8","Croatia","2019","No Official Policy",-7.1,-1.9,12.5,8.5,32.4,6,2.9,0.109243503318089,0.0716463966657904,0.412641555859055,2,0
"9","Czech Republic","2015","No Official Policy",1.5,1.1,3.9,5.1,29.6,2.4,5.3,0.138658043784161,-0.106921264677095,0.558703900644996,1,1
"10","Czechia","2019","Raise",3.7,2.1,4.8,2.2,31.8,1.2,2.6,1.30356202003778,-0.053239228555213,0.513667338723543,1,1
"11","Denmark","2015","Raise",8.4,3.8,10.5,6.3,37.4,4.6,2.3,-0.467476870495368,-0.837110164826926,-0.128889161105681,1,1
"12","Denmark","2019","Raise",4.3,2.6,12.5,5.1,40,4,2.4,0.114536790770096,0.375771070597547,0.280064771079242,2,1
"13","Estonia","2015","Raise",0.8,-1.6,14.8,6.2,26.1,3.9,1.8,0.427628219244647,0.00053763379268651,0.713242808144052,0,0
"14","Estonia","2019","Raise",4.3,3,14.4,5.4,25.7,3.6,4.3,0.311051514234013,0.135293699111359,0.523991520227921,0,0
"15","Finland","2015","Raise",2.8,3,5.7,9.4,23.7,6,0.5,0.237275244140706,-0.478052179513864,0.585056732199955,2,1
"16","Finland","2019","Raise",0.9,2.5,6.9,7.4,18.5,4.2,1,-0.300231858138073,0.251505708758671,0.439119346027098,0,1
"17","France","2015","Raise",2.7,1.3,12.2,10.4,25.7,6.3,1.1,0.101313595414429,0.0170770787738667,0.190110519757071,1,1
"18","France","2019","Maintain",1.4,0.6,12.8,9,26.7,5.4,1.5,-0.28347309071805,-0.117436001569745,0.371088322989141,1,1
"19","Germany","2015","Raise",12,4.8,12.5,4.6,19.4,2.3,1.7,-0.416939856356257,-0.153742681464388,0.125313944970284,2,1
"20","Germany","2019","Raise",2.7,6.6,15.7,3.4,21.5,1.9,0.6,-0.0446997254259879,0.433593376246837,0.274659336598164,2,1
"21","Greece","2015","Lower",-6.9,-3,11.7,24.9,10.4,19.9,-0.4,0.0349939269273668,0.0147050851577482,-1.14676852179431,2,1
"22","Greece","2019","Maintain",-1.5,-1.5,11.6,19.3,10.5,14.2,1.9,1.60964183198033,0.207090990726022,-1.0699575211604,1,1
"23","Hungary","2015","Raise",-2.5,0.6,4.9,6.8,26.8,2.4,3.8,0.188397921951515,0.014112594981826,0.664147049322323,2,1
"24","Hungary","2019","No Official Policy",-0.6,0.6,5.3,3.7,29.9,1.5,4.9,1.14198626730368,-0.0594995365437282,0.519230714477848,2,1
